,Energy [eV]
1222,611.12444
1223,611.62446
1224,612.12448
1225,612.6245
1226,613.12452
1227,613.62454
1228,614.12456
1229,614.62458
1230,615.1246
1231,615.62462
1232,616.12464
1233,616.62466
1234,617.12468
1235,617.6247
1236,618.12472
1237,618.62474
1238,619.12476
1239,619.62478
1240,620.1248
1241,620.62482
1242,621.12484
1243,621.62486
1244,622.12488
1245,622.6249
1246,623.12492
1247,623.62494
1248,624.12496
1249,624.62498
1250,625.125
1251,625.62502
1252,626.12504
1253,626.62506
1254,627.12508
1255,627.6251
1256,628.12512
1257,628.62514
1258,629.12516
1259,629.62518
1260,630.1252
1261,630.62522
1262,631.12524
1263,631.62526
1264,632.12528
1265,632.6253
1266,633.12532
1267,633.62534
1268,634.12536
1269,634.62538
1270,635.1254
1271,635.62542
1272,636.12544
1273,636.62546
1274,637.12548
1275,637.6255
1276,638.12552
1277,638.62554
1278,639.12556
1279,639.62558
1280,640.1256
1281,640.62562
1282,641.12564
1283,641.62566
1284,642.12568
1285,642.6257
1286,643.12572
1287,643.62574
1288,644.12576
1289,644.62578
1290,645.1258
1291,645.62582
1292,646.12584
1293,646.62586
1294,647.12588
1295,647.6259
1296,648.12592
1297,648.62594
1298,649.12596
1299,649.62598
1300,650.126
1301,650.62602
1302,651.12604
1303,651.62606
1304,652.12608
1305,652.6261
1306,653.12612
1307,653.62614
1308,654.12616
1309,654.62618
1310,655.1262
1311,655.62622
1312,656.12624
1313,656.62626
1314,657.12628
1315,657.6263
1316,658.12632
1317,658.62634
1318,659.12636
1319,659.62638
1320,660.1264
1321,660.62642
1322,661.12644
1323,661.62646
1324,662.12648
1325,662.6265
1326,663.12652
1327,663.62654
1328,664.12656
1329,664.62658
1330,665.1266
1331,665.62662
1332,666.12664
1333,666.62666
1334,667.12668
1335,667.6267
1336,668.12672
1337,668.62674
1338,669.12676
1339,669.62678
1340,670.1268
1341,670.62682
1342,671.12684
1343,671.62686
1344,672.12688
1345,672.6269
1346,673.12692
1347,673.62694
1348,674.12696
1349,674.62698
1350,675.127
1351,675.62702
1352,676.12704
1353,676.62706
1354,677.12708
1355,677.6271
1356,678.12712
1357,678.62714
1358,679.12716
1359,679.62718
1360,680.1272
1361,680.62722
1362,681.12724
1363,681.62726
1364,682.12728
1365,682.6273
1366,683.12732
1367,683.62734
1368,684.12736
1369,684.62738
1370,685.1274
1371,685.62742
1372,686.12744
1373,686.62746
1374,687.12748
1375,687.6275
1376,688.12752
1377,688.62754
1378,689.12756
1379,689.62758
1380,690.1276
1381,690.62762
1382,691.12764
1383,691.62766
1384,692.12768
1385,692.6277
1386,693.12772
1387,693.62774
1388,694.12776
1389,694.62778
1390,695.1278
1391,695.62782
1392,696.12784
1393,696.62786
1394,697.12788
1395,697.6279
1396,698.12792
1397,698.62794
1398,699.12796
1399,699.62798
1400,700.128
1401,700.62802
1402,701.12804
1403,701.62806
1404,702.12808
1405,702.6281
1406,703.12812
1407,703.62814
1408,704.12816
1409,704.62818
1410,705.1282
1411,705.62822
1412,706.12824
1413,706.62826
1414,707.12828
1415,707.6283
1416,708.12832
1417,708.62834
1418,709.12836
1419,709.62838
1420,710.1284
1421,710.62842
1422,711.12844
1423,711.62846
1424,712.12848
1425,712.6285
1426,713.12852
1427,713.62854
1428,714.12856
1429,714.62858
1430,715.1286
1431,715.62862
1432,716.12864
1433,716.62866
1434,717.12868
1435,717.6287
1436,718.12872
1437,718.62874
1438,719.12876
1439,719.62878
1440,720.1288
1441,720.62882
1442,721.12884
1443,721.62886
1444,722.12888
1445,722.6289
1446,723.12892
1447,723.62894
1448,724.12896
1449,724.62898
1450,725.129
1451,725.62902
1452,726.12904
1453,726.62906
1454,727.12908
1455,727.6291
1456,728.12912
1457,728.62914
1458,729.12916
1459,729.62918
1460,730.1292
1461,730.62922
1462,731.12924
1463,731.62926
1464,732.12928
1465,732.6293
1466,733.12932
1467,733.62934
1468,734.12936
1469,734.62938
1470,735.1294
1471,735.62942
1472,736.12944
1473,736.62946
1474,737.12948
1475,737.6295
1476,738.12952
1477,738.62954
1478,739.12956
1479,739.62958
1480,740.1296
1481,740.62962
1482,741.12964
1483,741.62966
1484,742.12968
1485,742.6297
1486,743.12972
1487,743.62974
1488,744.12976
1489,744.62978
1490,745.1298
1491,745.62982
1492,746.12984
1493,746.62986
1494,747.12988
1495,747.6299
1496,748.12992
1497,748.62994
1498,749.12996
1499,749.62998
1500,750.13
1501,750.63002
1502,751.13004
1503,751.63006
1504,752.13008
1505,752.6301
1506,753.13012
1507,753.63014
1508,754.13016
1509,754.63018
1510,755.1302
