,time [fs]
1618,7.517512049796353e-14
1619,7.530640126975828e-14
1620,7.543972551907336e-14
1621,7.55752797783164e-14
1622,7.571120857873891e-14
1623,7.584548604212952e-14
1624,7.59791089213892e-14
1625,7.61149547614832e-14
1626,7.625289860421332e-14
1627,7.638920925507527e-14
1628,7.652420111192718e-14
1629,7.666120903852505e-14
1630,7.679872782806842e-14
1631,7.693498721965931e-14
1632,7.707258289190627e-14
1633,7.721169726634458e-14
1634,7.735138512074429e-14
1635,7.749314300267738e-14
1636,7.763569245142518e-14
1637,7.77754855493015e-14
1638,7.791400466523815e-14
1639,7.805546513989493e-14
1640,7.82004677531895e-14
1641,7.834558831060862e-14
1642,7.848735217490749e-14
1643,7.862809577527476e-14
1644,7.87724209675536e-14
1645,7.892006918567586e-14
1646,7.906670298811606e-14
1647,7.921044985262785e-14
1648,7.935603582584316e-14
1649,7.950579701037145e-14
1650,7.965430437846604e-14
1651,7.979896296186568e-14
1652,7.994531162303908e-14
1653,8.009607930723915e-14
1654,8.024795397923851e-14
1655,8.040017068302026e-14
1656,8.055348811632892e-14
1657,8.070647273612455e-14
1658,8.085867683678883e-14
1659,8.101148945402726e-14
1660,8.116583188279502e-14
1661,8.132117170331954e-14
1662,8.147671088532893e-14
1663,8.163208225973068e-14
1664,8.178788580555124e-14
1665,8.194415922280767e-14
1666,8.210096285262664e-14
1667,8.225860667438012e-14
1668,8.241699859750092e-14
1669,8.257868235881329e-14
1670,8.274440373568168e-14
1671,8.290895351263058e-14
1672,8.306958974907934e-14
1673,8.323024292583745e-14
1674,8.339415998327616e-14
1675,8.355888679670156e-14
1676,8.372198860737667e-14
1677,8.388555071290547e-14
1678,8.405178615470602e-14
1679,8.421924224376582e-14
1680,8.438476513646583e-14
1681,8.454967728638427e-14
1682,8.47181222551585e-14
1683,8.489010375878878e-14
1684,8.506328746347536e-14
1685,8.523651238500944e-14
1686,8.541074693226335e-14
1687,8.558685723937837e-14
1688,8.576248801171197e-14
1689,8.593594639005395e-14
1690,8.611043663340896e-14
1691,8.628701283224028e-14
1692,8.646316252163531e-14
1693,8.664184079910184e-14
1694,8.682501069544393e-14
1695,8.700755512483448e-14
1696,8.71886749850247e-14
1697,8.737240707034935e-14
1698,8.755692955609261e-14
1699,8.774114111457953e-14
1700,8.792689807340978e-14
1701,8.811207720975466e-14
1702,8.829681465841764e-14
1703,8.84846028463614e-14
1704,8.86763098422807e-14
1705,8.886933438981853e-14
1706,8.906076133587496e-14
1707,8.925242729602513e-14
1708,8.944682454908458e-14
1709,8.964209832047691e-14
1710,8.983613283710544e-14
1711,9.003015198922728e-14
1712,9.022629976119338e-14
1713,9.042400748145394e-14
1714,9.062299679867849e-14
1715,9.082516227036703e-14
1716,9.103000141136546e-14
1717,9.123487783551417e-14
1718,9.14396658584831e-14
1719,9.164415558841548e-14
1720,9.184802617464187e-14
1721,9.205420626241416e-14
1722,9.226433935003903e-14
1723,9.247635683588102e-14
1724,9.268884047929482e-14
1725,9.290214741204139e-14
1726,9.31164370490496e-14
1727,9.333077998407596e-14
1728,9.354519170261535e-14
1729,9.376169515172953e-14
1730,9.398066637781809e-14
1731,9.420055889432833e-14
1732,9.44224175215994e-14
1733,9.464530598502408e-14
1734,9.486571738622117e-14
