,time [fs]
1279,4.145133460119296e-14
1280,4.151389603605824e-14
1281,4.157651688171088e-14
1282,4.1638921881750045e-14
1283,4.170131615643024e-14
1284,4.1764077771976203e-14
1285,4.182708275308119e-14
1286,4.1889894358159814e-14
1287,4.1952524842479586e-14
1288,4.201539128266101e-14
1289,4.207859820210634e-14
1290,4.2141862468513456e-14
1291,4.2205037096500946e-14
1292,4.226824393909972e-14
1293,4.2331605231132644e-14
1294,4.2395126791069925e-14
1295,4.245874986681495e-14
1296,4.252240045003595e-14
1297,4.258599052268181e-14
1298,4.264950328868116e-14
1299,4.271313664971153e-14
1300,4.2777086312274315e-14
1301,4.284125491525007e-14
1302,4.2905456889017426e-14
1303,4.296968606274279e-14
1304,4.303400808047987e-14
1305,4.3098363464837606e-14
1306,4.316266791815213e-14
1307,4.322704703271927e-14
1308,4.3291683723659795e-14
1309,4.335647602217158e-14
1310,4.342118116342858e-14
1311,4.3485845202254025e-14
1312,4.3550705701181036e-14
1313,4.361571986293268e-14
1314,4.368063574453376e-14
1315,4.374551146271348e-14
1316,4.3810617690547065e-14
1317,4.387586323953604e-14
1318,4.3940968775280724e-14
1319,4.4006055896501e-14
1320,4.4071468870255784e-14
1321,4.41371319456257e-14
1322,4.42026956794157e-14
1323,4.426821938492336e-14
1324,4.433401257582729e-14
1325,4.4400066613111e-14
1326,4.446602067548809e-14
1327,4.4531660612346523e-14
1328,4.459729036742019e-14
1329,4.466326331868716e-14
1330,4.4729585669613764e-14
1331,4.4796035979324886e-14
1332,4.486249279870331e-14
1333,4.492906127594555e-14
1334,4.4995882556211575e-14
1335,4.506292907938285e-14
1336,4.512999691768542e-14
1337,4.519693500110535e-14
1338,4.5263872681912493e-14
1339,4.5331015192029256e-14
1340,4.5398412519549494e-14
1341,4.546593113821489e-14
1342,4.553345083334882e-14
1343,4.560097324888299e-14
1344,4.5668537999082063e-14
1345,4.57361640575811e-14
1346,4.5803844041208396e-14
1347,4.587157032258263e-14
1348,4.5939343715223336e-14
1349,4.600716803913227e-14
1350,4.607504566945948e-14
1351,4.6142977489611456e-14
1352,4.6210965023539555e-14
1353,4.627900916209096e-14
1354,4.634710814232103e-14
1355,4.641526116926786e-14
1356,4.648347759148552e-14
1357,4.6551770803403775e-14
1358,4.662012881305512e-14
1359,4.6688507055501576e-14
1360,4.6756884827823856e-14
1361,4.682533919439595e-14
1362,4.689396037933703e-14
1363,4.6962709865912157e-14
1364,4.7031459704288944e-14
1365,4.7100173817864294e-14
1366,4.716899732431268e-14
1367,4.723805597242441e-14
1368,4.7307236223156565e-14
1369,4.737634464923588e-14
1370,4.7445401157687354e-14
1371,4.7514648429356575e-14
1372,4.758421893918102e-14
1373,4.76538858959294e-14
1374,4.772339301852531e-14
1375,4.779284750429946e-14
1376,4.7862558816223907e-14
1377,4.793260960439456e-14
1378,4.800272463676859e-14
1379,4.8072680741295515e-14
1380,4.814264570390402e-14
1381,4.821289061370152e-14
1382,4.8283489127209476e-14
1383,4.8354347403786226e-14
1384,4.842539457198771e-14
1385,4.849662687612582e-14
1386,4.856803830206299e-14
1387,4.863953152473211e-14
1388,4.871097209971453e-14
1389,4.878239184312256e-14
1390,4.88540331669954e-14
1391,4.8926066263726993e-14
1392,4.899834368172824e-14
1393,4.907065696641281e-14
1394,4.914295804361779e-14
1395,4.921530925196823e-14
1396,4.928774933831288e-14
1397,4.9360268069000066e-14
1398,4.943285215473276e-14
1399,4.9505502495856285e-14
1400,4.957822509592278e-14
1401,4.965102275034566e-14
1402,4.972389491374625e-14
1403,4.9796841556718945e-14
1404,4.9869864607152014e-14
1405,4.994296621723803e-14
1406,5.001614747098862e-14
1407,5.008940887923322e-14
1408,5.0162751144544013e-14
1409,5.023617528902702e-14
1410,5.03096822069478e-14
1411,5.038327263182875e-14
1412,5.045694736584384e-14
1413,5.0530707142503424e-14
1414,5.0604552724265214e-14
1415,5.067848489668524e-14
1416,5.075250437203558e-14
1417,5.082661190570864e-14
1418,5.090080821784377e-14
1419,5.097509403565242e-14
1420,5.1049470060214935e-14
1421,5.1123936941870334e-14
1422,5.1198495436195e-14
1423,5.127314628764692e-14
1424,5.134789016997986e-14
1425,5.142272777600401e-14
1426,5.149765981267277e-14
1427,5.1572686969479505e-14
1428,5.164780998980148e-14
1429,5.172302958490243e-14
1430,5.179834642746615e-14
1431,5.187376124341534e-14
1432,5.1949274718130305e-14
1433,5.2024887562887735e-14
1434,5.210060054644296e-14
1435,5.217641436301869e-14
1436,5.225232972649581e-14
1437,5.23283473499517e-14
1438,5.2404467975722925e-14
1439,5.248069239029784e-14
1440,5.255702123789795e-14
1441,5.2633455230822305e-14
1442,5.27099951950352e-14
1443,5.278664184709752e-14
1444,5.2863395902576457e-14
1445,5.2940258101278043e-14
1446,5.301722922184496e-14
1447,5.309431004597806e-14
1448,5.317150132397173e-14
1449,5.324880378894646e-14
1450,5.3326218186184696e-14
1451,5.340374530237591e-14
1452,5.348138592451041e-14
1453,5.355914085496735e-14
1454,5.3637010872703145e-14
1455,5.371499671685983e-14
1456,5.37930991727584e-14
1457,5.387131905076828e-14
1458,5.3949657166937134e-14
1459,5.4028114326555664e-14
1460,5.410669132204649e-14
1461,5.4185388990374323e-14
1462,5.426420812655409e-14
1463,5.4343149495229483e-14
1464,5.442221398902444e-14
1465,5.450140239851961e-14
1466,5.4580715523817995e-14
1467,5.4660154243479995e-14
1468,5.473971937221096e-14
1469,5.48194117744631e-14
1470,5.489923231244877e-14
1471,5.497918186759918e-14
1472,5.5059261271963617e-14
1473,5.513947133484131e-14
1474,5.521981293741002e-14
1475,5.530028694796892e-14
1476,5.538089423774367e-14
1477,5.5461635701295856e-14
1478,5.554251218914616e-14
1479,5.5623524584925616e-14
1480,5.5704673822761e-14
1481,5.578596076262982e-14
1482,5.586738629362214e-14
1483,5.5948951363906e-14
1484,5.603065688709094e-14
1485,5.611250378188978e-14
1486,5.6194492972082286e-14
1487,5.6276625393109656e-14
1488,5.635890196766915e-14
1489,5.6441323667639236e-14
1490,5.652389146098054e-14
1491,5.660660624039974e-14
1492,5.6689468953840754e-14
1493,5.6772480653813234e-14
1494,5.685564230563124e-14
1495,5.693895486811663e-14
1496,5.702241931978863e-14
1497,5.710603661093659e-14
1498,5.718980777611066e-14
1499,5.727373388148724e-14
1500,5.735781589620295e-14
1501,5.744205480628418e-14
1502,5.752645164199083e-14
1503,5.761100741601483e-14
1504,5.769572317220526e-14
1505,5.778059997853978e-14
1506,5.78656388540361e-14
1507,5.795084086005439e-14
1508,5.803620711900778e-14
1509,5.812173863362771e-14
1510,5.820743642883132e-14
1511,5.829330165369017e-14
1512,5.837933540127061e-14
1513,5.846553873399626e-14
1514,5.855191276235702e-14
1515,5.863845859082274e-14
1516,5.87251773315932e-14
1517,5.881207009621358e-14
1518,5.88991379680634e-14
1519,5.898638210646894e-14
1520,5.907380366620616e-14
1521,5.916140380699334e-14
1522,5.924918367524267e-14
1523,5.933714438761719e-14
1524,5.942528715021821e-14
1525,5.95136131884809e-14
1526,5.960212363085802e-14
1527,5.96908196262643e-14
1528,5.977970239294448e-14
1529,5.986877315646009e-14
1530,5.995803315660743e-14
1531,6.004748357739602e-14
1532,6.013712559553477e-14
1533,6.022696048026117e-14
1534,6.031698950855127e-14
1535,6.04072139085732e-14
1536,6.049763488001215e-14
1537,6.058825369979443e-14
1538,6.067907170975676e-14
1539,6.077009014490736e-14
1540,6.086131028869123e-14
1541,6.095273349454075e-14
1542,6.104436101021875e-14
1543,6.113619414996555e-14
1544,6.122823427241093e-14
1545,6.132048271938975e-14
