,Energy [eV]
1106,1106.1995
1107,1107.1996
1108,1108.1997
1109,1109.1998
1110,1110.1999
1111,1111.2
1112,1112.2001
1113,1113.2002
1114,1114.2003
1115,1115.2004
1116,1116.2005
1117,1117.2005
1118,1118.2006
1119,1119.2007
1120,1120.2008
1121,1121.2009
1122,1122.201
1123,1123.2011
1124,1124.2012
1125,1125.2013
1126,1126.2014
1127,1127.2014
1128,1128.2015
1129,1129.2016
1130,1130.2017
1131,1131.2018
1132,1132.2019
1133,1133.202
1134,1134.2021
1135,1135.2022
1136,1136.2023
1137,1137.2023
1138,1138.2024
1139,1139.2025
1140,1140.2026
1141,1141.2027
1142,1142.2028
1143,1143.2029
1144,1144.203
1145,1145.2031
1146,1146.2032
1147,1147.2032
1148,1148.2033
1149,1149.2034
1150,1150.2035
1151,1151.2036
1152,1152.2037
1153,1153.2038
1154,1154.2039
1155,1155.204
1156,1156.2041
1157,1157.2041
1158,1158.2042
1159,1159.2043
1160,1160.2044
1161,1161.2045
1162,1162.2046
1163,1163.2047
1164,1164.2048
1165,1165.2049
1166,1166.205
1167,1167.205
1168,1168.2051
1169,1169.2052
1170,1170.2053
1171,1171.2054
1172,1172.2055
1173,1173.2056
1174,1174.2057
1175,1175.2058
1176,1176.2059
1177,1177.2059
1178,1178.206
1179,1179.2061
1180,1180.2062
1181,1181.2063
1182,1182.2064
1183,1183.2065
1184,1184.2066
1185,1185.2067
1186,1186.2068
1187,1187.2068
1188,1188.2069
1189,1189.207
1190,1190.2071
1191,1191.2072
1192,1192.2073
1193,1193.2074
1194,1194.2075
1195,1195.2076
1196,1196.2077
1197,1197.2077
1198,1198.2078
1199,1199.2079
1200,1200.208
1201,1201.2081
1202,1202.2082
1203,1203.2083
1204,1204.2084
1205,1205.2085
1206,1206.2086
1207,1207.2086
1208,1208.2087
1209,1209.2088
1210,1210.2089
1211,1211.209
1212,1212.2091
1213,1213.2092
1214,1214.2093
1215,1215.2094
1216,1216.2095
1217,1217.2095
1218,1218.2096
1219,1219.2097
1220,1220.2098
1221,1221.2099
1222,1222.21
1223,1223.2101
1224,1224.2102
1225,1225.2103
1226,1226.2104
1227,1227.2104
1228,1228.2105
1229,1229.2106
1230,1230.2107
1231,1231.2108
1232,1232.2109
1233,1233.211
1234,1234.2111
1235,1235.2112
1236,1236.2113
1237,1237.2113
1238,1238.2114
1239,1239.2115
1240,1240.2116
1241,1241.2117
1242,1242.2118
1243,1243.2119
1244,1244.212
1245,1245.2121
1246,1246.2122
1247,1247.2122
1248,1248.2123
1249,1249.2124
1250,1250.2125
1251,1251.2126
1252,1252.2127
1253,1253.2128
1254,1254.2129
1255,1255.213
1256,1256.2131
1257,1257.2131
1258,1258.2132
1259,1259.2133
1260,1260.2134
1261,1261.2135
1262,1262.2136
1263,1263.2137
1264,1264.2138
1265,1265.2139
1266,1266.214
1267,1267.214
1268,1268.2141
1269,1269.2142
1270,1270.2143
1271,1271.2144
1272,1272.2145
1273,1273.2146
1274,1274.2147
1275,1275.2148
1276,1276.2149
1277,1277.2149
1278,1278.215
1279,1279.2151
1280,1280.2152
1281,1281.2153
1282,1282.2154
1283,1283.2155
1284,1284.2156
1285,1285.2157
1286,1286.2158
1287,1287.2158
1288,1288.2159
1289,1289.216
1290,1290.2161
1291,1291.2162
1292,1292.2163
1293,1293.2164
1294,1294.2165
1295,1295.2166
1296,1296.2167
1297,1297.2167
1298,1298.2168
1299,1299.2169
1300,1300.217
1301,1301.2171
1302,1302.2172
1303,1303.2173
1304,1304.2174
1305,1305.2175
1306,1306.2176
1307,1307.2176
1308,1308.2177
1309,1309.2178
1310,1310.2179
1311,1311.218
1312,1312.2181
1313,1313.2182
1314,1314.2183
1315,1315.2184
1316,1316.2185
1317,1317.2185
1318,1318.2186
1319,1319.2187
1320,1320.2188
1321,1321.2189
1322,1322.219
1323,1323.2191
1324,1324.2192
1325,1325.2193
1326,1326.2194
1327,1327.2194
1328,1328.2195
1329,1329.2196
1330,1330.2197
1331,1331.2198
1332,1332.2199
1333,1333.22
1334,1334.2201
1335,1335.2202
1336,1336.2203
1337,1337.2203
1338,1338.2204
1339,1339.2205
1340,1340.2206
1341,1341.2207
1342,1342.2208
1343,1343.2209
1344,1344.221
1345,1345.2211
1346,1346.2212
1347,1347.2212
1348,1348.2213
1349,1349.2214
1350,1350.2215
1351,1351.2216
1352,1352.2217
1353,1353.2218
1354,1354.2219
1355,1355.222
1356,1356.2221
1357,1357.2221
1358,1358.2222
1359,1359.2223
1360,1360.2224
1361,1361.2225
1362,1362.2226
1363,1363.2227
1364,1364.2228
1365,1365.2229
1366,1366.223
1367,1367.223
1368,1368.2231
1369,1369.2232
1370,1370.2233
1371,1371.2234
1372,1372.2235
1373,1373.2236
1374,1374.2237
1375,1375.2238
1376,1376.2239
1377,1377.2239
1378,1378.224
1379,1379.2241
1380,1380.2242
1381,1381.2243
1382,1382.2244
1383,1383.2245
1384,1384.2246
1385,1385.2247
1386,1386.2248
1387,1387.2248
1388,1388.2249
1389,1389.225
1390,1390.2251
1391,1391.2252
1392,1392.2253
1393,1393.2254
1394,1394.2255
1395,1395.2256
1396,1396.2257
1397,1397.2257
1398,1398.2258
1399,1399.2259
1400,1400.226
1401,1401.2261
1402,1402.2262
1403,1403.2263
1404,1404.2264
1405,1405.2265
1406,1406.2266
1407,1407.2266
1408,1408.2267
1409,1409.2268
1410,1410.2269
1411,1411.227
1412,1412.2271
1413,1413.2272
1414,1414.2273
1415,1415.2274
1416,1416.2275
1417,1417.2275
1418,1418.2276
1419,1419.2277
1420,1420.2278
1421,1421.2279
1422,1422.228
1423,1423.2281
1424,1424.2282
1425,1425.2283
1426,1426.2284
1427,1427.2284
1428,1428.2285
1429,1429.2286
1430,1430.2287
1431,1431.2288
1432,1432.2289
1433,1433.229
1434,1434.2291
1435,1435.2292
1436,1436.2293
1437,1437.2293
